appid,name,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,price,categories,ratings,owners_average,MutualPlayerCount,single_player,multi_player,genre_Action,genre_Adventure,genre_Animation & Modeling,genre_Casual,genre_Design & Illustration,genre_Early Access,genre_Education,genre_Free to Play,genre_Game Development,genre_Gore,genre_Indie,genre_Massively Multiplayer,genre_Movie,genre_Nudity,genre_RPG,genre_Racing,genre_Sexual Content,genre_Simulation,genre_Sports,genre_Strategy,genre_Utilities,genre_Violent,genre_Web Publishing,categories_list,Single_Player,Multi_Player
15170,Heroes of Might & Magic V,2628,0,569,0,304,Strategy,2.49,"Single-player, Family Sharing",0.7892696363382059,750000.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Single-player', 'Family Sharing']",1,0
20900,The Witcher: Enhanced Edition Director's Cut,876,2,203,2,882,"Action, RPG",1.49,"Single-player, Steam Cloud, Family Sharing",0.8578806624387885,3500000.0,294,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Steam Cloud', 'Family Sharing']",1,0
20900,The Witcher: Enhanced Edition Director's Cut,876,2,203,2,882,"Action, RPG",1.49,"Single-player, Steam Cloud, Family Sharing",0.8578806624387885,3500000.0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['Single-player', 'Steam Cloud', 'Family Sharing']",1,0
22000,World of Goo,583,0,91,0,16,Indie,14.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0.8057685538693455,1500000.0,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",1,0
7450,Ricochet Infinity,0,0,0,0,1,Casual,0.0,"Single-player, Multi-player, Co-op, Family Sharing",0.7787901224971441,10000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'Co-op', 'Family Sharing']",1,1
3540,Peggle Nights,321,0,110,0,79,Casual,4.99,"Single-player, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0.7908854927484499,350000.0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",1,0
16030,7 Wonders: Treasures of Seven,0,0,0,0,0,Casual,9.99,"Single-player, Family Sharing",0.778563580314938,35000.0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Family Sharing']",1,0
13600,Prince of Persia: The Sands of Time,368,0,104,0,40,"Action, Adventure",1.99,"Single-player, Family Sharing",0.7875673395476421,350000.0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Family Sharing']",1,0
13600,Prince of Persia: The Sands of Time,368,0,104,0,40,"Action, Adventure",1.99,"Single-player, Family Sharing",0.7875673395476421,350000.0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Family Sharing']",1,0
12210,Grand Theft Auto IV: The Complete Edition,1483,310,542,416,3393,"Action, Adventure",5.99,"Single-player, Multi-player, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet",0.8078261734449135,7500000.0,766,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']",1,1
12210,Grand Theft Auto IV: The Complete Edition,1483,310,542,416,3393,"Action, Adventure",5.99,"Single-player, Multi-player, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet",0.8078261734449135,7500000.0,766,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Multi-player', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']",1,1
17390,SPORE,2578,60,431,60,1111,"Action, Adventure, Casual, RPG, Simulation, Strategy",19.99,"Single-player, Steam Trading Cards, Family Sharing",0.874505956681001,3500000.0,199,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Steam Trading Cards', 'Family Sharing']",1,0
17390,SPORE,2578,60,431,60,1111,"Action, Adventure, Casual, RPG, Simulation, Strategy",19.99,"Single-player, Steam Trading Cards, Family Sharing",0.874505956681001,3500000.0,199,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Steam Trading Cards', 'Family Sharing']",1,0
17390,SPORE,2578,60,431,60,1111,"Action, Adventure, Casual, RPG, Simulation, Strategy",19.99,"Single-player, Steam Trading Cards, Family Sharing",0.874505956681001,3500000.0,199,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Single-player', 'Steam Trading Cards', 'Family Sharing']",1,0
