appid,name,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,price,categories 1,categories 2,ratings,owners_average,MutualPlayerCount,cat_1_Multi-player,cat_1_Single-player,cat_2_Single-player,cat_2_Multi-player,Action,Adventure,Animation & Modeling,Casual,Design & Illustration,Early Access,Education,Free to Play,Game Development,Gore,Indie,Massively Multiplayer,Movie,Nudity,RPG,Racing,Sexual Content,Simulation,Sports,Strategy,Utilities,Violent,Web Publishing,single player,multi player
21090,F.E.A.R.,332,159,213,318,43,['Action'],54.99,Single-player,,0.831256467,1500000,107,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32360,The Secret of Monkey Island: Special Edition,355,0,268,0,38,['Adventure'],9.99,Single-player,,0.805893631,750000,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21130,LEGO Harry Potter: Years 1-4,658,0,244,0,196,"['Action', 'Adventure']",19.99,Single-player,Multi-player,0.799397634,1500000,56,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32460,Monkey Island 2 Special Edition: LeChuck’s Revenge,333,0,370,0,37,['Adventure'],9.99,Single-player,,0.793120912,350000,18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24780,SimCity 4 Deluxe Edition,997,0,480,0,456,"['Simulation', 'Strategy']",19.99,Single-player,,0.786860472,1500000,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
70400,Recettear: An Item Shop's Tale,668,0,423,0,24,"['RPG', 'Indie']",19.99,Single-player,,0.813825302,750000,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
38530,Top Gun,0,0,0,0,1,"['Action', 'Simulation']",0,Single-player,Multi-player,0.778790122,10000,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
22380,Fallout: New Vegas,4018,653,1238,1081,4930,"['Action', 'RPG']",9.99,Single-player,,0.939805347,7500000,459,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8930,Sid Meier's Civilization V,6499,248,2893,248,17971,['Strategy'],29.99,Single-player,Multi-player,0.937783265,15000000,561,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
50620,Darksiders,519,0,90,0,35,"['Action', 'Adventure']",0,Single-player,,0.812311669,3500000,118,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
462780,Darksiders Warmastered Edition,442,0,246,0,150,"['Action', 'Adventure', 'RPG']",4.99,Single-player,,0.809868534,750000,246,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42700,Call of Duty: Black Ops,1273,169,499,169,526,['Action'],39.99,Single-player,Multi-player,0.850211344,3500000,336,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
78000,Bejeweled 3,1464,41,1662,41,424,"['Casual', 'Strategy']",4.99,Single-player,,0.810918064,750000,91,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
61600,Zen Bound 2,50,0,82,0,0,"['Indie', 'Casual']",4.99,Single-player,,0.780446096,150000,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40800,Super Meat Boy,386,0,127,0,100,['Indie'],14.99,Single-player,,0.868254609,3500000,237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47870,Need For Speed: Hot Pursuit,523,1314,174,1314,43,['Racing'],0,Single-player,Multi-player,0.797235445,3500000,130,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
29180,Osmos,108,0,77,0,4,"['Casual', 'Indie']",9.99,Single-player,,0.782492356,350000,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40700,Machinarium,219,0,248,0,47,"['Adventure', 'Indie']",19.99,Single-player,,0.836136219,1500000,56,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15750,Oddworld: Stranger's Wrath HD,18,0,25,0,8,"['Action', 'Adventure', 'Strategy']",9.99,Single-player,,0.783148548,350000,15,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
56400,"Warhammer 40,000: Dawn of War II: Retribution",1934,0,792,0,315,['Strategy'],29.99,Single-player,Multi-player,0.804466638,3500000,81,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
47890,The Sims 3,2565,0,942,0,2264,['Simulation'],19.99,Single-player,,0.824818967,3500000,138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
48190,Assassin’s Creed Brotherhood,1183,0,1197,0,273,"['Action', 'Adventure']",19.99,Single-player,Multi-player,0.822770627,1500000,155,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
92800,SpaceChem,290,0,151,0,15,"['Indie', 'Simulation']",9.99,Single-player,,0.79898362,1500000,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
71240,SEGA Bass Fishing,8,0,9,0,5,"['Simulation', 'Sports']",7.99,Single-player,,0.782581206,150000,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
47920,Shift 2 Unleashed,236,0,126,0,11,['Racing'],0,Single-player,Multi-player,0.770416636,150000,20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
9200,RAGE,1089,0,421,0,79,['Action'],9.99,Single-player,Multi-player,0.777290475,1500000,153,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
96000,The Tiny Bang Story,303,0,303,0,8,"['Adventure', 'Casual', 'Indie']",4.99,Single-player,,0.795762502,7500000,117,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45760,Ultra Street Fighter IV,2173,24,1444,24,144,['Action'],29.99,Single-player,Multi-player,0.817202014,750000,118,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
105100,Lume,39,0,39,0,0,"['Adventure', 'Casual', 'Indie']",5.99,Single-player,,0.773523878,75000,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105600,Terraria,7679,231,2156,148,31944,"['Action', 'Adventure', 'Indie', 'RPG']",9.99,Single-player,Multi-player,0.971925825,35000000,1507,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
20920,The Witcher 2: Assassins of Kings Enhanced Edition,1000,219,328,329,720,['RPG'],2.99,Single-player,,0.865079392,3500000,574,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
97000,Solar 2,340,0,356,0,4,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']",9.99,Single-player,,0.787476004,350000,16,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
98800,Dungeons of Dredmor,1349,0,756,0,33,"['Casual', 'Indie', 'RPG']",7.99,Single-player,,0.802936162,350000,55,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
18700,And Yet It Moves,55,0,31,0,0,"['Action', 'Indie']",9.99,Single-player,,0.775303317,350000,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26500,Cogs,107,0,36,0,1,"['Indie', 'Casual']",5.99,Single-player,,0.781927773,350000,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26900,Crayon Physics Deluxe,34,0,25,0,0,"['Casual', 'Indie']",19.99,Single-player,,0.78162287,750000,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70300,VVVVVV,226,0,57,0,12,"['Action', 'Indie']",4.99,Single-player,,0.823926255,750000,53,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
