appid,name,developer,publisher,score_rank,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,currency,final,categories,positive_ratio,ratings,owners_average,MutualPlayerCount
21130,LEGO Harry Potter: Years 1-4,TT Games,Warner Bros. Interactive Entertainment,,7138,1033,"1,000,000 .. 2,000,000",658,0,244,0,196,"Action, Adventure",USD,19.99,"Single-player, Multi-player, Shared/Split Screen, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",0.8735772855219679,0.7993976337887634,1500000.0,56
32460,Monkey Island 2 Special Edition: LeChuck’s Revenge,LucasArts,"LucasArts, Lucasfilm, Disney",,2463,111,"200,000 .. 500,000",333,0,370,0,37,Adventure,USD,9.99,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",0.9568764568764568,0.793120911575745,350000.0,18
24780,SimCity 4 Deluxe Edition,"EA - Maxis, Aspyr (Mac)","Electronic Arts, Aspyr (Mac)",,6799,1540,"1,000,000 .. 2,000,000",997,0,480,0,456,"Simulation, Strategy",USD,19.99,"Single-player, Family Sharing",0.8153255786065475,0.7868604718743106,1500000.0,54
70400,Recettear: An Item Shop's Tale,EasyGameStation,Carpe Fulgur LLC,,6724,272,"500,000 .. 1,000,000",668,0,423,0,24,"RPG, Indie",USD,19.99,"Single-player, Partial Controller Support, Family Sharing",0.9611206403659234,0.8138253021458319,750000.0,50
38530,Top Gun,doublesix,Paramount Digital Entertainment,,0,0,"0 .. 20,000",0,0,0,0,1,"Action, Simulation",,0.0,"Single-player, Multi-player, Co-op, Steam Achievements, Partial Controller Support, Steam Leaderboards, Family Sharing",,0.7787901224971441,10000.0,1
22380,Fallout: New Vegas,Obsidian Entertainment,Bethesda Softworks,,188434,7030,"5,000,000 .. 10,000,000",4018,653,1238,1081,4930,"Action, RPG",USD,9.99,"Single-player, Steam Achievements, Partial Controller Support, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0.9640342978758237,0.9398053467790589,7500000.0,459
8930,Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,189325,7574,"10,000,000 .. 20,000,000",6499,248,2893,248,17971,Strategy,USD,29.99,"Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Family Sharing",0.9615335781288884,0.9377832651421701,15000000.0,561
50620,Darksiders,Vigil Games,THQ Nordic,,10780,1277,"2,000,000 .. 5,000,000",519,0,90,0,35,"Action, Adventure",,0.0,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",0.894086422824915,0.8123116693201958,3500000.0,118
462780,Darksiders Warmastered Edition,"KAIKO, Vigil Games",THQ Nordic,,12428,1789,"500,000 .. 1,000,000",442,0,246,0,150,"Action, Adventure, RPG",USD,4.99,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",0.8741647323626645,0.8098685336027208,750000.0,246
42700,Call of Duty: Black Ops,Treyarch,Activision,,33323,3400,"2,000,000 .. 5,000,000",1273,169,499,169,526,Action,USD,39.99,"Single-player, Multi-player, Co-op, Steam Achievements, Partial Controller Support, Valve Anti-Cheat enabled, Family Sharing",0.9074149715437192,0.8502113436568914,3500000.0,336
78000,Bejeweled 3,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",,6087,254,"500,000 .. 1,000,000",1464,41,1662,41,424,"Casual, Strategy",USD,4.99,"Single-player, Steam Achievements, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0.9599432266204069,0.8109180641933346,750000.0,91
61600,Zen Bound 2,Secret Exit Ltd.,Secret Exit Ltd.,,492,76,"100,000 .. 200,000",50,0,82,0,0,"Indie, Casual",USD,4.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",0.8661971830985915,0.7804460964965959,150000.0,7
40800,Super Meat Boy,Team Meat,,,31981,1822,"2,000,000 .. 5,000,000",386,0,127,0,100,Indie,USD,14.99,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",0.9460994586279324,0.8682546091787334,3500000.0,237
47870,Need For Speed: Hot Pursuit,Criterion Games,Electronic Arts,,16382,3486,"2,000,000 .. 5,000,000",523,1314,174,1314,43,Racing,,0.0,"Single-player, Multi-player, PvP, Online PvP, Steam Trading Cards, Partial Controller Support, Family Sharing",0.8245419770485203,0.7972354448030072,3500000.0,130
29180,Osmos,Hemisphere Games,Hemisphere Games,,1141,178,"200,000 .. 500,000",108,0,77,0,4,"Casual, Indie",USD,9.99,"Single-player, Steam Achievements, Family Sharing",0.865049279757392,0.7824923563001684,350000.0,13
40700,Machinarium,Amanita Design,Amanita Design,,13559,640,"1,000,000 .. 2,000,000",219,0,248,0,47,"Adventure, Indie",USD,19.99,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",0.9549264032678357,0.8361362189955157,1500000.0,56
15750,Oddworld: Stranger's Wrath HD,Oddworld Inhabitants,Oddworld Inhabitants,,1299,196,"200,000 .. 500,000",18,0,25,0,8,"Action, Adventure, Strategy",USD,9.99,"Single-player, Steam Achievements, Family Sharing",0.8688963210702341,0.7831485476315284,350000.0,15
56400,"Warhammer 40,000: Dawn of War II: Retribution","Relic Entertainment, Feral Interactive (Mac/Linux)","SEGA, Feral Interactive (Mac/Linux)",,6660,680,"2,000,000 .. 5,000,000",1934,0,792,0,315,Strategy,USD,29.99,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",0.9073569482288828,0.8044666378204887,3500000.0,81
47890,The Sims 3,The Sims Studio,Electronic Arts,,26783,4047,"2,000,000 .. 5,000,000",2565,0,942,0,2264,Simulation,USD,19.99,"Single-player, Family Sharing",0.868731754784301,0.8248189673651519,3500000.0,138
48190,Assassin’s Creed Brotherhood,Ubisoft Montreal,Ubisoft,,17554,2209,"1,000,000 .. 2,000,000",1183,0,1197,0,273,"Action, Adventure",USD,19.99,"Single-player, Multi-player, Partial Controller Support",0.8882254718413196,0.8227706274512078,1500000.0,155
92800,SpaceChem,Zachtronics,Zachtronics,,4481,384,"1,000,000 .. 2,000,000",290,0,151,0,15,"Indie, Simulation",USD,9.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",0.9210688591983556,0.7989836201585933,1500000.0,46
71240,SEGA Bass Fishing,SEGA,SEGA,,898,107,"100,000 .. 200,000",8,0,9,0,5,"Simulation, Sports",USD,7.99,"Single-player, Partial Controller Support, Family Sharing",0.8935323383084577,0.7825812059673508,150000.0,11
47920,Shift 2 Unleashed,Slightly Mad Studios,Electronic Arts,,1689,823,"100,000 .. 200,000",236,0,126,0,11,Racing,,0.0,"Single-player, Multi-player, Partial Controller Support, Family Sharing",0.6723726114649682,0.7704166362367708,150000.0,20
9200,RAGE,id Software,Bethesda Softworks,,13075,3803,"1,000,000 .. 2,000,000",1089,0,421,0,79,Action,USD,9.99,"Single-player, Multi-player, Co-op, Steam Achievements, Partial Controller Support, Family Sharing",0.7746770944424695,0.7772904750059639,1500000.0,153
96000,The Tiny Bang Story,Colibri Games,Colibri Games,,5495,783,"5,000,000 .. 10,000,000",303,0,303,0,8,"Adventure, Casual, Indie",USD,4.99,"Single-player, Steam Trading Cards, Family Sharing",0.8752787511946479,0.7957625023012953,7500000.0,117
45760,Ultra Street Fighter IV,Capcom,Capcom,,12864,1495,"500,000 .. 1,000,000",2173,24,1444,24,144,Action,USD,29.99,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing",0.8958841144926527,0.8172020135999079,750000.0,118
105100,Lume,State of Play,State of Play,,228,267,"50,000 .. 100,000",39,0,39,0,0,"Adventure, Casual, Indie",USD,5.99,"Single-player, Family Sharing",0.46060606060606063,0.7735238777741413,75000.0,3
105600,Terraria,Re-Logic,Re-Logic,,1239903,29970,"20,000,000 .. 50,000,000",7679,231,2156,148,31944,"Action, Adventure, Indie, RPG",USD,9.99,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",0.9763992147246221,0.971925825075721,35000000.0,1507
20920,The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub",,74042,8614,"2,000,000 .. 5,000,000",1000,219,328,329,720,RPG,USD,2.99,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing",0.8957849399922571,0.8650793915071753,3500000.0,574
97000,Solar 2,Murudai,Murudai,,1895,187,"200,000 .. 500,000",340,0,356,0,4,"Action, Adventure, Casual, Indie, Simulation",USD,9.99,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Family Sharing",0.9101825168107589,0.7874760037202746,350000.0,16
98800,Dungeons of Dredmor,"Gaslamp Games, Inc.","Gaslamp Games, Inc.",,4867,310,"200,000 .. 500,000",1349,0,756,0,33,"Casual, Indie, RPG",USD,7.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Stats, Steam Leaderboards, Family Sharing",0.9401197604790419,0.8029361617560945,350000.0,55
18700,And Yet It Moves,Broken Rules,Broken Rules,,872,385,"200,000 .. 500,000",55,0,31,0,0,"Action, Indie",USD,9.99,"Single-player, Steam Achievements, Partial Controller Support, Family Sharing",0.6937151949085123,0.7753033167015785,350000.0,9
26500,Cogs,Lazy 8 Studios,,,771,97,"200,000 .. 500,000",107,0,36,0,1,"Indie, Casual",USD,5.99,"Single-player, Steam Achievements, Family Sharing",0.8882488479262672,0.7819277734436144,350000.0,15
26900,Crayon Physics Deluxe,Kloonigames,Kloonigames,,922,151,"500,000 .. 1,000,000",34,0,25,0,0,"Casual, Indie",USD,19.99,"Single-player, Family Sharing",0.8592730661696178,0.7816228697469122,750000.0,8
70300,VVVVVV,Terry Cavanagh,Terry Cavanagh,,9173,349,"500,000 .. 1,000,000",226,0,57,0,12,"Action, Indie",USD,4.99,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Includes level editor, Remote Play on TV, Family Sharing",0.9633480361268641,0.8239262554670066,750000.0,53
96200,Steel Storm: Burning Retribution,Kot in Action Creative Artel,Kot in Action Creative Artel,,212,142,"100,000 .. 200,000",292,0,325,0,0,"Action, Indie",USD,14.99,"Single-player, Multi-player, Co-op, Steam Trading Cards, Partial Controller Support, Includes level editor, Family Sharing",0.5988700564971752,0.776650423873578,150000.0,36
